Sl. No,Body Part,Type of Bionic Chip,Average Cost (INR),Country of Origin,Vulnerability Identified,Impact Score
63,Ear,Integra LifeSciences Cadence Total Ankle System,2817882,Iceland,,
64,Knee,Cochlear Implant Chips,4726283,USA,,
65,Limbs (Arm/Leg),Artificial Urinary Sphincter Control System,1080751,UK,,
66,Arm,Artificial Urinary Sphincter Control System,4464667,USA,,
67,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,5296824,USA,,
68,Spine,Cochlear Implant Chips,3355901,Iceland,,
69,Cochlea,i-Limb Ultra Prosthetic Hand Control System,4535567,Germany,Weak Password Policy,7
70,Shoulder,Advanced Bionics HiRes Ultra Cochlear Implant,3674187,Switzerland,,
71,Arm,Cochlear Implant Chips,5153987,Germany,,
72,Hand,Neurostimulator Implants for Chronic Pain,6759998,Iceland,,
73,Eye,Zimmer Biomet Comprehensive Reverse Shoulder System,4516310,USA,,
74,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,1473233,Iceland,,
75,Ear,Cochlear Implant Chips,4543133,USA,,
76,Leg,Cardiac Implant Chips,2071389,USA,,
77,Shoulder,Integra LifeSciences Cadence Total Ankle System,6624852,USA,Hardware Vulnerabilities,5
78,Leg,Integra LifeSciences Cadence Total Ankle System,2650579,USA,,
79,Ear,Cardiac Implant Chips,3755050,USA,,
80,Ear,Integra LifeSciences Cadence Total Ankle System,1877823,UK,,
81,Ear,i-Limb Ultra Prosthetic Hand Control System,3619036,USA,,
82,Knee,Neuroprosthetic Chips,4576871,Germany,,
83,Arm,Neuroprosthetic Chips,4655301,USA,Weak Password Policy,5
84,Knee,Artificial Urinary Sphincter Control System,6432429,UK,,
85,Shoulder,Integra LifeSciences Cadence Total Ankle System,74917,China,Hardware Vulnerabilities,7
86,Hip,GENUTECH Genutrain OA Prosthetic Knee Implant,2000448,Germany,,
87,Bladder,Neuroprosthetic Chips,5907678,USA,,
88,Pancreas,Artificial Urinary Sphincter Control System,3613005,UK,,
89,Pancreas,Neurostimulator Implants for Chronic Pain,2746111,UK,,
90,Shoulder,Neuroprosthetic Chips,6157091,USA,,
91,Foot,POWER KNEE by Össur,1884570,USA,,
92,Brain,Advanced Bionics HiRes Ultra Cochlear Implant,1063460,Switzerland,,
93,Pancreas,Integra LifeSciences Cadence Total Ankle System,5595266,USA,,
94,Limbs (Arm/Leg),Myoelectric Control Chips,5703893,USA,,
95,Ankle,Neuroprosthetic Chips,5974544,USA,,
96,Pancreas,Modular Prosthetic Limb Control System,2714677,UK,,
97,Heart,Cochlear Implant Chips,1688586,Germany,,
98,Pancreas,Myoelectric Control Chips,2545171,USA,,
99,Pancreas,Artificial Urinary Sphincter Control System,5306215,USA,,
100,Heart,Artificial Urinary Sphincter Control System,3223010,Germany,,
101,Hip,POWER KNEE by Össur,6379375,Iceland,,
102,Brain,Advanced Bionics HiRes Ultra Cochlear Implant,3048824,USA,,
103,Eye,Modular Prosthetic Limb Control System,3300474,USA,,
104,Shoulder,GENUTECH Genutrain OA Prosthetic Knee Implant,4320659,USA,,
105,Limbs (Arm/Leg),Cochlear Implant Chips,1736880,USA,,
106,Pancreas,Cochlear Implant Chips,2179855,USA,,
107,Foot,POWER KNEE by Össur,4591810,USA,,
108,Pancreas,Artificial Pancreas Control Chips,1063403,Germany,Weak Password Policy,2
109,Arm,Modular Prosthetic Limb Control System,3411276,Iceland,,
110,Ankle,Össur Proprio Foot Prosthetic Foot,2634657,USA,,
111,Cochlea,Modular Prosthetic Limb Control System,4049290,Germany,,
112,Heart,POWER KNEE by Össur,5393133,Iceland,,
113,Brain,Advanced Bionics HiRes Ultra Cochlear Implant,1829961,USA,,
114,Foot,Össur Proprio Foot Prosthetic Foot,5152385,Germany,,
115,Limbs (Arm/Leg),Integra LifeSciences Cadence Total Ankle System,1488897,USA,,
116,Brain,Integra LifeSciences Cadence Total Ankle System,2167968,Iceland,,
117,Spine,GENUTECH Genutrain OA Prosthetic Knee Implant,1397485,UK,,
118,Arm,Neurostimulator Implants for Chronic Pain,4203798,USA,,
119,Cochlea,Cardiac Implant Chips,4423310,USA,,
120,Limbs (Arm/Leg),Neuroprosthetic Chips,3344248,UK,,
121,Shoulder,i-Limb Ultra Prosthetic Hand Control System,4639080,USA,Hardware Vulnerabilities,3
122,Knee,Myoelectric Control Chips,5046646,USA,,
123,Leg,Retinal Implant Chips,5042573,USA,,
124,Hip,Össur Proprio Foot Prosthetic Foot,4902560,USA,,
125,Limbs (Arm/Leg),Cochlear Implant Chips,3504301,USA,,
126,Shoulder,Zimmer Biomet Comprehensive Reverse Shoulder System,4193858,UK,,
127,Hip,Artificial Urinary Sphincter Control System,2456887,USA,,
128,Shoulder,Zimmer Biomet Comprehensive Reverse Shoulder System,5839827,USA,,
129,Brain,Advanced Bionics HiRes Ultra Cochlear Implant,5586890,USA,,
130,Eye,Integra LifeSciences Cadence Total Ankle System,4154857,USA,,
131,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,2750217,UK,,
132,Cochlea,POWER KNEE by Össur,5344437,USA,Hardware Vulnerabilities,6
133,Bladder,Advanced Bionics HiRes Ultra Cochlear Implant,2734390,USA,Software Vulnerabilities,3
134,Shoulder,Retinal Implant Chips,5520255,Germany,Hardware Vulnerabilities,4
135,Pancreas,Retinal Implant Chips,4291150,UK,Weak Password Policy,4
136,Hand,Cardiac Implant Chips,3474878,USA,,
137,Ear,Neurostimulator Implants for Chronic Pain,1559208,USA,,
138,Knee,Neuroprosthetic Chips,5535999,USA,,
139,Pancreas,Integra LifeSciences Cadence Total Ankle System,5180929,USA,,
140,Heart,DePuy Synthes ATTUNE® Primary Total Hip System,3802393,Germany,,
141,Bladder,Myoelectric Control Chips,4924307,USA,,
142,Leg,Artificial Urinary Sphincter Control System,1847098,Germany,,
143,Hip,Cochlear Implant Chips,4768310,USA,Hardware Vulnerabilities,3
144,Spine,Cochlear Implant Chips,976068,USA,,
145,Hip,DePuy Synthes ATTUNE® Primary Total Hip System,2875665,Iceland,,
146,Pancreas,Integra LifeSciences Cadence Total Ankle System,5109542,Switzerland,,
147,Heart,Zimmer Biomet Comprehensive Reverse Shoulder System,4586806,USA,,
148,Pancreas,Artificial Pancreas Control Chips,4238789,USA,,
149,Shoulder,Össur Proprio Foot Prosthetic Foot,896017,Iceland,,
150,Ankle,Advanced Bionics HiRes Ultra Cochlear Implant,2973468,USA,,
151,Hand,Integra LifeSciences Cadence Total Ankle System,3793235,Switzerland,,
152,Eye,Myoelectric Control Chips,1944600,Switzerland,,
153,Ear,i-Limb Ultra Prosthetic Hand Control System,3152293,USA,Weak Password Policy,3
154,Leg,Cochlear Implant Chips,4639177,USA,,
155,Leg,Cardiac Implant Chips,4228770,USA,,
156,Ear,Artificial Urinary Sphincter Control System,2689408,Iceland,,
157,Limbs (Arm/Leg),Neurostimulator Implants for Chronic Pain,244337,China,Communication Vulnerabilities,7
158,Spine,Össur Proprio Foot Prosthetic Foot,2210016,USA,,
159,Cochlea,Integra LifeSciences Cadence Total Ankle System,123836,China,,
160,Cochlea,i-Limb Ultra Prosthetic Hand Control System,2943489,USA,,
161,Spine,GENUTECH Genutrain OA Prosthetic Knee Implant,5131452,USA,Software Vulnerabilities,1
162,Hip,Össur Proprio Foot Prosthetic Foot,2871239,UK,Software Vulnerabilities,3
163,Pancreas,POWER KNEE by Össur,5572515,USA,,
164,Hip,Artificial Pancreas Control Chips,4959403,Germany,,
165,Foot,Artificial Urinary Sphincter Control System,5198559,USA,,
166,Ankle,Modular Prosthetic Limb Control System,6377049,USA,,
167,Pancreas,Retinal Implant Chips,6051708,USA,,
168,Ear,i-Limb Ultra Prosthetic Hand Control System,2455243,USA,,
169,Ear,Myoelectric Control Chips,3898040,USA,,
170,Eye,Artificial Pancreas Control Chips,6732512,Iceland,,
171,Heart,Myoelectric Control Chips,2816827,USA,,
172,Foot,GENUTECH Genutrain OA Prosthetic Knee Implant,1877217,Germany,,
173,Hand,Neuroprosthetic Chips,3175159,Switzerland,Software Vulnerabilities,6
174,Hip,Neuroprosthetic Chips,4971419,USA,,
175,Spine,Integra LifeSciences Cadence Total Ankle System,6613795,USA,,
176,Cochlea,Zimmer Biomet Comprehensive Reverse Shoulder System,223205,China,Hardware Vulnerabilities,9
177,Spine,Neurostimulator Implants for Chronic Pain,143290,China,Hardware Vulnerabilities,9
178,Ear,Advanced Bionics HiRes Ultra Cochlear Implant,4596924,USA,,
179,Spine,Modular Prosthetic Limb Control System,830261,USA,,
180,Arm,i-Limb Ultra Prosthetic Hand Control System,5178408,Germany,,
181,Leg,GENUTECH Genutrain OA Prosthetic Knee Implant,2936708,USA,Software Vulnerabilities,9
182,Ankle,Zimmer Biomet Comprehensive Reverse Shoulder System,4192399,Iceland,,
183,Foot,POWER KNEE by Össur,2695875,USA,,
184,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,1329755,USA,,
185,Hand,POWER KNEE by Össur,5580136,USA,,
186,Ear,Modular Prosthetic Limb Control System,6741692,Iceland,,
187,Hand,Neuroprosthetic Chips,2627141,USA,,
188,Ankle,Advanced Bionics HiRes Ultra Cochlear Implant,6229776,USA,,
189,Cochlea,i-Limb Ultra Prosthetic Hand Control System,4246461,USA,,
190,Spine,Integra LifeSciences Cadence Total Ankle System,3839834,Iceland,,
191,Leg,POWER KNEE by Össur,5088396,USA,,
192,Spine,Zimmer Biomet Comprehensive Reverse Shoulder System,236144,China,Weak Password Policy,9
193,Foot,Neuroprosthetic Chips,2515061,Iceland,Communication Vulnerabilities,2
194,Ankle,Integra LifeSciences Cadence Total Ankle System,6113700,USA,,
195,Bladder,Artificial Urinary Sphincter Control System,2000457,USA,,
196,Arm,Cardiac Implant Chips,858533,USA,,
197,Brain,Össur Proprio Foot Prosthetic Foot,3585922,Germany,,
198,Spine,POWER KNEE by Össur,6191968,USA,,
199,Cochlea,Össur Proprio Foot Prosthetic Foot,5664976,USA,Software Vulnerabilities,4
200,Hip,i-Limb Ultra Prosthetic Hand Control System,4610921,USA,,
201,Knee,Artificial Urinary Sphincter Control System,4530371,Iceland,,
202,Hip,Artificial Pancreas Control Chips,4277994,USA,,
203,Spine,Myoelectric Control Chips,5755906,USA,,
204,Foot,Retinal Implant Chips,6656209,Germany,,
205,Heart,GENUTECH Genutrain OA Prosthetic Knee Implant,4025331,USA,,
206,Arm,Neuroprosthetic Chips,2074464,USA,,
207,Spine,i-Limb Ultra Prosthetic Hand Control System,1160645,USA,,
208,Shoulder,Artificial Pancreas Control Chips,6167375,Switzerland,,
209,Brain,GENUTECH Genutrain OA Prosthetic Knee Implant,6673392,Iceland,,
210,Hip,Advanced Bionics HiRes Ultra Cochlear Implant,4601510,USA,,
211,Ankle,Myoelectric Control Chips,5582314,USA,,
212,Hand,Zimmer Biomet Comprehensive Reverse Shoulder System,4848666,Iceland,Communication Vulnerabilities,2
213,Foot,Artificial Urinary Sphincter Control System,5921179,USA,,
214,Eye,i-Limb Ultra Prosthetic Hand Control System,5631466,Germany,,
215,Cochlea,i-Limb Ultra Prosthetic Hand Control System,6302038,Iceland,,
216,Hand,i-Limb Ultra Prosthetic Hand Control System,884553,USA,,
217,Leg,POWER KNEE by Össur,6691287,USA,,
218,Bladder,Zimmer Biomet Comprehensive Reverse Shoulder System,3716878,Iceland,,
219,Pancreas,Myoelectric Control Chips,1331163,Germany,,
220,Leg,Modular Prosthetic Limb Control System,6917805,USA,,
221,Cochlea,Cochlear Implant Chips,5090709,UK,,
222,Hip,Retinal Implant Chips,2466276,USA,,
223,Leg,Neurostimulator Implants for Chronic Pain,1504016,USA,,
224,Ankle,Artificial Urinary Sphincter Control System,3132206,Germany,Weak Password Policy,3
225,Hand,DePuy Synthes ATTUNE® Primary Total Hip System,3231119,UK,,
226,Hip,DePuy Synthes ATTUNE® Primary Total Hip System,127940,China,,
227,Limbs (Arm/Leg),POWER KNEE by Össur,4110800,Iceland,,
228,Brain,Modular Prosthetic Limb Control System,5857416,USA,,
229,Eye,POWER KNEE by Össur,3094494,Iceland,,
230,Knee,Cardiac Implant Chips,2061543,USA,,
231,Knee,Neuroprosthetic Chips,3371872,UK,,
232,Leg,Artificial Pancreas Control Chips,3934266,USA,,
233,Eye,Zimmer Biomet Comprehensive Reverse Shoulder System,1963735,Germany,,
234,Ear,Neurostimulator Implants for Chronic Pain,4735946,USA,,
235,Knee,Modular Prosthetic Limb Control System,3076201,USA,,
236,Knee,Modular Prosthetic Limb Control System,6355327,Germany,,
237,Limbs (Arm/Leg),Retinal Implant Chips,6254516,Germany,,
238,Spine,Zimmer Biomet Comprehensive Reverse Shoulder System,6662057,USA,,
239,Leg,DePuy Synthes ATTUNE® Primary Total Hip System,3881205,Switzerland,,
240,Hand,Modular Prosthetic Limb Control System,1406594,UK,,
241,Knee,GENUTECH Genutrain OA Prosthetic Knee Implant,253835,China,Software Vulnerabilities,7
242,Pancreas,Myoelectric Control Chips,1931232,Switzerland,,
243,Cochlea,DePuy Synthes ATTUNE® Primary Total Hip System,4277041,Iceland,,
244,Pancreas,Modular Prosthetic Limb Control System,278894,China,,
245,Eye,POWER KNEE by Össur,292228,China,Software Vulnerabilities,9
246,Cochlea,Integra LifeSciences Cadence Total Ankle System,5950327,Switzerland,,
247,Pancreas,i-Limb Ultra Prosthetic Hand Control System,2918081,USA,,
248,Ear,Retinal Implant Chips,129542,China,Hardware Vulnerabilities,8
249,Pancreas,Retinal Implant Chips,4167679,USA,,
250,Brain,Zimmer Biomet Comprehensive Reverse Shoulder System,5725750,Iceland,,
251,Ankle,Integra LifeSciences Cadence Total Ankle System,107790,China,Software Vulnerabilities,9
252,Foot,Össur Proprio Foot Prosthetic Foot,5229898,USA,,
253,Brain,Neurostimulator Implants for Chronic Pain,6016886,Iceland,,
254,Eye,Össur Proprio Foot Prosthetic Foot,6561834,Germany,,
255,Knee,Myoelectric Control Chips,4398096,Iceland,,
256,Spine,DePuy Synthes ATTUNE® Primary Total Hip System,6094707,USA,,
257,Hip,DePuy Synthes ATTUNE® Primary Total Hip System,5679951,USA,,
258,Eye,i-Limb Ultra Prosthetic Hand Control System,6436393,Iceland,,
259,Knee,Advanced Bionics HiRes Ultra Cochlear Implant,3630871,Germany,,
260,Bladder,Cardiac Implant Chips,5557580,UK,,
261,Ankle,Integra LifeSciences Cadence Total Ankle System,5536510,USA,,
262,Shoulder,Advanced Bionics HiRes Ultra Cochlear Implant,205593,China,Software Vulnerabilities,7
263,Ear,Neurostimulator Implants for Chronic Pain,6769350,USA,,
264,Arm,Cochlear Implant Chips,1125725,USA,Weak Password Policy,8
265,Bladder,Myoelectric Control Chips,289558,China,Communication Vulnerabilities,8
266,Pancreas,Advanced Bionics HiRes Ultra Cochlear Implant,3463156,Iceland,,
267,Ear,Cochlear Implant Chips,3349436,Germany,,
268,Shoulder,i-Limb Ultra Prosthetic Hand Control System,1882742,USA,,
269,Foot,Zimmer Biomet Comprehensive Reverse Shoulder System,5959714,USA,,
270,Heart,Zimmer Biomet Comprehensive Reverse Shoulder System,6341347,UK,,
271,Leg,POWER KNEE by Össur,1827414,USA,,
272,Hip,Neuroprosthetic Chips,2453295,USA,,
273,Bladder,Cardiac Implant Chips,3993939,USA,,
274,Limbs (Arm/Leg),POWER KNEE by Össur,1945716,USA,Software Vulnerabilities,2
275,Arm,POWER KNEE by Össur,4397540,Germany,,
276,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,6042875,UK,,
277,Spine,Zimmer Biomet Comprehensive Reverse Shoulder System,4215939,USA,,
278,Shoulder,Modular Prosthetic Limb Control System,2977439,USA,,
279,Ankle,Cochlear Implant Chips,2757015,UK,,
280,Foot,Retinal Implant Chips,6284482,USA,,
281,Spine,Zimmer Biomet Comprehensive Reverse Shoulder System,3058859,USA,,
282,Limbs (Arm/Leg),Artificial Urinary Sphincter Control System,5612841,Iceland,,
283,Limbs (Arm/Leg),Artificial Pancreas Control Chips,5730760,USA,,
284,Foot,Cardiac Implant Chips,3367654,USA,,
285,Eye,Neuroprosthetic Chips,6782520,USA,,
286,Pancreas,GENUTECH Genutrain OA Prosthetic Knee Implant,3932475,USA,,
287,Hip,Zimmer Biomet Comprehensive Reverse Shoulder System,4033928,USA,,
288,Ear,Cardiac Implant Chips,3347857,USA,,
289,Spine,Neuroprosthetic Chips,205112,China,Weak Password Policy,9
290,Bladder,Cochlear Implant Chips,5149836,USA,,
291,Bladder,Retinal Implant Chips,6865848,Germany,,
292,Eye,Neuroprosthetic Chips,151858,China,Hardware Vulnerabilities,7
293,Bladder,Myoelectric Control Chips,3722738,USA,,
294,Foot,i-Limb Ultra Prosthetic Hand Control System,3603584,USA,,
295,Leg,GENUTECH Genutrain OA Prosthetic Knee Implant,1434268,USA,Software Vulnerabilities,3
296,Hip,Retinal Implant Chips,4023884,USA,,
297,Leg,Artificial Pancreas Control Chips,4761768,USA,,
298,Spine,Advanced Bionics HiRes Ultra Cochlear Implant,5025804,USA,,
299,Spine,Integra LifeSciences Cadence Total Ankle System,5055492,USA,,
300,Foot,DePuy Synthes ATTUNE® Primary Total Hip System,3584408,UK,,
301,Ear,Integra LifeSciences Cadence Total Ankle System,4971196,USA,,
302,Spine,i-Limb Ultra Prosthetic Hand Control System,3600263,USA,,
303,Pancreas,Retinal Implant Chips,4059634,Switzerland,,
304,Eye,i-Limb Ultra Prosthetic Hand Control System,4919841,Iceland,,
305,Foot,Cochlear Implant Chips,4114927,USA,,
306,Limbs (Arm/Leg),i-Limb Ultra Prosthetic Hand Control System,4366838,USA,,
307,Hip,Integra LifeSciences Cadence Total Ankle System,1060321,Iceland,,
308,Ear,Artificial Urinary Sphincter Control System,3794001,Switzerland,,
309,Hip,GENUTECH Genutrain OA Prosthetic Knee Implant,3462214,UK,,
310,Pancreas,Cochlear Implant Chips,6828420,Switzerland,,
311,Hip,Össur Proprio Foot Prosthetic Foot,1906432,USA,,
312,Ankle,Modular Prosthetic Limb Control System,946636,USA,,
313,Eye,GENUTECH Genutrain OA Prosthetic Knee Implant,5628764,Iceland,,
314,Heart,Modular Prosthetic Limb Control System,3380045,USA,,
315,Pancreas,Neuroprosthetic Chips,2777604,UK,,
316,Cochlea,Advanced Bionics HiRes Ultra Cochlear Implant,4704153,Germany,Software Vulnerabilities,5
317,Pancreas,GENUTECH Genutrain OA Prosthetic Knee Implant,5599470,USA,,
318,Cochlea,POWER KNEE by Össur,2787782,USA,,
319,Limbs (Arm/Leg),Össur Proprio Foot Prosthetic Foot,2025511,USA,,
320,Leg,Neurostimulator Implants for Chronic Pain,1981803,Iceland,,
321,Shoulder,Retinal Implant Chips,4789392,USA,,
322,Cochlea,Artificial Urinary Sphincter Control System,6765397,USA,,
323,Arm,Modular Prosthetic Limb Control System,2203718,USA,,
324,Knee,DePuy Synthes ATTUNE® Primary Total Hip System,5136713,Germany,,
325,Pancreas,Cochlear Implant Chips,3810974,Germany,,
326,Knee,Retinal Implant Chips,6136640,USA,,
327,Hip,Artificial Urinary Sphincter Control System,1851643,Switzerland,,
328,Foot,Neurostimulator Implants for Chronic Pain,2568006,USA,,
329,Eye,Neurostimulator Implants for Chronic Pain,2200237,USA,,
330,Limbs (Arm/Leg),Cochlear Implant Chips,3135112,USA,,
331,Pancreas,Myoelectric Control Chips,4282471,Iceland,,
332,Heart,Myoelectric Control Chips,6388804,USA,,
333,Pancreas,Neurostimulator Implants for Chronic Pain,6306052,UK,,
334,Hand,Zimmer Biomet Comprehensive Reverse Shoulder System,2773166,USA,,
335,Ear,Össur Proprio Foot Prosthetic Foot,296676,China,Weak Password Policy,8
336,Hand,Artificial Pancreas Control Chips,6663518,USA,Software Vulnerabilities,8
337,Cochlea,Zimmer Biomet Comprehensive Reverse Shoulder System,4106368,USA,,
338,Shoulder,Össur Proprio Foot Prosthetic Foot,3225103,USA,Hardware Vulnerabilities,5
339,Shoulder,Zimmer Biomet Comprehensive Reverse Shoulder System,5320350,UK,,
340,Shoulder,Artificial Pancreas Control Chips,1666994,USA,Communication Vulnerabilities,7
341,Bladder,Integra LifeSciences Cadence Total Ankle System,170000,China,Communication Vulnerabilities,7
342,Brain,Myoelectric Control Chips,3610144,Germany,,
343,Brain,Neurostimulator Implants for Chronic Pain,4349897,Germany,,
344,Cochlea,Retinal Implant Chips,5196314,Switzerland,,
345,Foot,DePuy Synthes ATTUNE® Primary Total Hip System,4901861,USA,,
346,Shoulder,GENUTECH Genutrain OA Prosthetic Knee Implant,4474842,USA,Weak Password Policy,6
347,Arm,DePuy Synthes ATTUNE® Primary Total Hip System,4713466,Germany,,
348,Hip,i-Limb Ultra Prosthetic Hand Control System,5821654,USA,Communication Vulnerabilities,8
349,Hand,GENUTECH Genutrain OA Prosthetic Knee Implant,4144516,Switzerland,,
350,Eye,Advanced Bionics HiRes Ultra Cochlear Implant,2507117,USA,,
351,Cochlea,i-Limb Ultra Prosthetic Hand Control System,5629439,USA,,
352,Brain,GENUTECH Genutrain OA Prosthetic Knee Implant,5166749,USA,,
353,Foot,POWER KNEE by Össur,6879725,Germany,,
354,Ear,Zimmer Biomet Comprehensive Reverse Shoulder System,5868696,USA,,
355,Brain,Neurostimulator Implants for Chronic Pain,1765093,Germany,,
356,Hip,Artificial Pancreas Control Chips,3796148,USA,,
357,Heart,GENUTECH Genutrain OA Prosthetic Knee Implant,5441822,USA,Hardware Vulnerabilities,5
358,Hand,Integra LifeSciences Cadence Total Ankle System,4648365,USA,,
359,Leg,Artificial Urinary Sphincter Control System,4069216,USA,,
360,Hand,Advanced Bionics HiRes Ultra Cochlear Implant,6868322,USA,Software Vulnerabilities,7
361,Knee,Myoelectric Control Chips,112966,China,,
362,Pancreas,Zimmer Biomet Comprehensive Reverse Shoulder System,997330,Germany,,
363,Pancreas,Neuroprosthetic Chips,1732060,USA,,
364,Shoulder,Össur Proprio Foot Prosthetic Foot,2999016,USA,,
365,Hip,POWER KNEE by Össur,273280,China,,
366,Hand,Retinal Implant Chips,6012427,USA,,
367,Leg,Cochlear Implant Chips,94121,China,Communication Vulnerabilities,7
368,Bladder,Össur Proprio Foot Prosthetic Foot,5941684,USA,Hardware Vulnerabilities,7
369,Limbs (Arm/Leg),Retinal Implant Chips,1484246,UK,,
370,Heart,i-Limb Ultra Prosthetic Hand Control System,1678458,Switzerland,,
371,Pancreas,Cochlear Implant Chips,5622537,USA,,
372,Heart,Modular Prosthetic Limb Control System,3278837,USA,,
373,Hip,Myoelectric Control Chips,4739943,USA,,
374,Knee,Neuroprosthetic Chips,4511523,USA,,
375,Hand,Retinal Implant Chips,4053268,Iceland,,
376,Hip,Artificial Pancreas Control Chips,4821219,USA,,
377,Pancreas,Artificial Pancreas Control Chips,1861940,USA,,
378,Heart,Cochlear Implant Chips,5384836,USA,,
379,Eye,Retinal Implant Chips,820145,USA,,
380,Brain,Cardiac Implant Chips,1260551,USA,Communication Vulnerabilities,2
381,Foot,Zimmer Biomet Comprehensive Reverse Shoulder System,6069900,USA,Weak Password Policy,8
382,Arm,Cochlear Implant Chips,5412315,USA,Weak Password Policy,4
383,Limbs (Arm/Leg),Neurostimulator Implants for Chronic Pain,6995896,USA,Communication Vulnerabilities,5
